,title,id,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
212,The Day After Tomorrow,435,2392,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
213,Mission: Impossible II,955,1928,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,The Perfect Storm,2133,597,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Fantastic 4: Rise of the Silver Surfer,1979,2589,5.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
216,Life of Pi,87827,5797,7.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Ghost Rider,1250,1712,5.2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
218,Jason Bourne,324668,2341,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,Charlie's Angels: Full Throttle,9471,914,5.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Prometheus,70981,5080,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
221,Stuart Little 2,10996,613,5.4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,Elysium,68724,3439,6.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
